species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Green-winged Teal,2,71,0.9437,0.7809,0.9378,0.8511,0.9859
Wilson's Snipe,1,55,0.9455,0.9286,0.9455,0.9369,0.9636
Tree Swallow,1,56,0.9464,0.8154,0.9464,0.8760,0.9643
Varied Thrush,1,56,0.9464,0.8154,0.9464,0.8760,0.9821
Barn Swallow,1,57,0.9474,0.9310,0.9474,0.9391,1.0000
Clark's Grebe,1,38,0.9474,0.8000,0.9474,0.8675,0.9474
Scaled Quail,1,19,0.9474,0.9000,0.9474,0.9231,1.0000
Black-billed Magpie,1,38,0.9474,0.8182,0.9474,0.8780,1.0000
White-eyed Vireo,1,57,0.9474,0.9474,0.9474,0.9474,1.0000
Brown Creeper,1,58,0.9483,0.9649,0.9483,0.9565,0.9828
Acorn Woodpecker,1,58,0.9483,0.9322,0.9483,0.9402,1.0000
California Quail,2,78,0.9487,0.9649,0.9091,0.9346,0.9872
Painted Bunting,2,98,0.9490,0.9200,0.9446,0.9316,1.0000
Lark Sparrow,1,59,0.9492,0.8889,0.9492,0.9180,0.9661
American Redstart,2,119,0.9496,0.9192,0.9492,0.9339,0.9664
Ruby-crowned Kinglet,1,60,0.9500,0.9344,0.9500,0.9421,0.9833
Least Sandpiper,1,60,0.9500,0.8261,0.9500,0.8837,1.0000
Pileated Woodpecker,1,60,0.9500,0.9828,0.9500,0.9661,0.9833
Wilson's Warbler,1,60,0.9500,0.8143,0.9500,0.8769,1.0000
American Goldfinch,2,120,0.9500,0.9419,0.9500,0.9459,0.9750
Canada Warbler,1,60,0.9500,0.9344,0.9500,0.9421,0.9833
Surf Scoter,2,61,0.9508,0.7341,0.9448,0.8224,0.9836
American Wigeon,2,64,0.9531,0.9611,0.9363,0.9483,0.9844
Burrowing Owl,1,43,0.9535,0.9318,0.9535,0.9425,0.9767
Glossy Ibis,1,44,0.9545,0.6885,0.9545,0.8000,1.0000
Black Turnstone,1,47,0.9574,0.9574,0.9574,0.9574,1.0000
American Robin,2,119,0.9580,0.9582,0.9582,0.9582,0.9832
Black-bellied Plover,2,77,0.9610,0.9356,0.9619,0.9484,0.9870
Gambel's Quail,2,52,0.9615,0.8808,0.9412,0.9096,1.0000
Semipalmated Plover,1,54,0.9630,0.8814,0.9630,0.9204,0.9815
Eastern Towhee,1,54,0.9630,0.8667,0.9630,0.9123,0.9815
Green-tailed Towhee,1,28,0.9643,0.9310,0.9643,0.9474,1.0000
Monk Parakeet,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
Swallow-tailed Kite,1,29,0.9655,0.7179,0.9655,0.8235,0.9655
American Tree Sparrow,1,59,0.9661,1.0000,0.9661,0.9828,0.9831
Steller's Jay,1,60,0.9667,0.9355,0.9667,0.9508,0.9833
Green Heron,1,60,0.9667,0.9508,0.9667,0.9587,0.9833
Evening Grosbeak,2,120,0.9667,0.9915,0.9667,0.9789,0.9833
Barred Owl,1,60,0.9667,0.9508,0.9667,0.9587,1.0000
Horned Lark,1,60,0.9667,0.9206,0.9667,0.9431,0.9833
Red-eyed Vireo,1,60,0.9667,0.9062,0.9667,0.9355,1.0000
Carolina Wren,1,60,0.9667,0.9062,0.9667,0.9355,1.0000
American Dipper,1,31,0.9677,0.8824,0.9677,0.9231,1.0000
Northern Bobwhite,1,32,0.9688,1.0000,0.9688,0.9841,0.9688
Brant,1,32,0.9688,1.0000,0.9688,0.9841,1.0000
Blue-winged Warbler,1,38,0.9737,0.9487,0.9737,0.9610,1.0000
