run,n_test,n_classes,top1_accuracy,top5_accuracy,balanced_accuracy,cohen_kappa,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,species_404_accuracy,order_22_accuracy,model,level,space,taxo,n_unique_texts,n_multileaf_imgs,species_acc_on_multileaf,variant_acc,variant_prior,variant_gain,oracle_variant_n,oracle_variant_acc,oracle_variant_random,oracle_variant_prior,oracle_variant_gain,vp_n_leaves,vp_bal,vp_chance,vp81_n_leaves,vp81_bal,vp81_chance,errors_total,errors_within_same_species_pct,errors_within_same_order_pct
bioclip_T3b_leaf,24633,555,0.60398652214509,0.8715138229204725,0.5712793903319237,0.6032109729299449,0.5741065453457354,0.5712793903319237,0.5213051360028869,0.60398652214509,0.60398652214509,0.60398652214509,0.6107022704397236,0.60398652214509,0.5582620577286037,0.71761458206471,0.9649251004749726,bioclip,T3b,leaf,tol,555.0,11955.0,0.5928063571727311,0.6050515027515169,0.562107904642409,0.04294359810910786,11955.0,0.5826014219991635,0.4774208838700683,0.562107904642409,0.02049351735675453,288.0,0.5740705557929324,0.4756944444444444,167.0,0.6295950169576662,0.48502994011976047,9755.0,28.692977960020507,91.14300358790364
bioclip_T3b_species,24633,404,0.8185361100962124,0.9700807859375634,,,,,,,,,,,,,,bioclip,T3b,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip_T3bx_leaf,24633,555,0.5855153655665165,0.8575082206795762,0.5529631386514838,0.5847060112125363,0.5393366908077154,0.5529631386514838,0.49600378821135394,0.5855153655665165,0.5855153655665165,0.5855153655665165,0.5769197452996936,0.5855153655665165,0.5331865314886681,0.7115657857345837,0.9652092721146429,bioclip,T3bx,leaf,tol,555.0,11955.0,0.5799247176913426,0.552141929900476,0.562107904642409,-0.009965974741933059,11955.0,0.5359263906315349,0.4774208838700683,0.562107904642409,-0.026181514010874096,288.0,0.526926683013171,0.4756944444444444,167.0,0.5482930088105329,0.48502994011976047,10210.0,30.411361410381975,91.60626836434868
bioclip_T3bx_species,24633,404,0.8185361100962124,0.9700807859375634,,,,,,,,,,,,,,bioclip,T3bx,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T0d_leaf,24633,555,0.7439207567084805,0.9801891771201234,0.71242124228763,0.7434185979969196,0.6972204497822023,0.71242124228763,0.6598899334953203,0.7439207567084805,0.7439207567084805,0.7439207567084805,0.7340522228479822,0.7439207567084805,0.6982129675638543,0.938009986603337,0.9981325863678805,bioclip2,T0d,leaf,tol,555.0,11955.0,0.9154328732747804,0.563139619883041,0.562107904642409,0.0010317152406319474,11955.0,0.5617733166039314,0.4774208838700683,0.562107904642409,-0.0003345880384776345,288.0,0.5412169055418481,0.4756944444444444,167.0,0.5628972615743546,0.48502994011976047,6308.0,75.79264426125555,99.2707672796449
bioclip2_T0d_species,24633,404,0.9566435269760077,0.9981325863678805,,,,,,,,,,,,,,bioclip2,T0d,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T0s_leaf,24633,555,0.7436365850688101,0.979539641943734,0.7262457657357664,0.7431431844556107,0.7222009994909135,0.7262457657357664,0.676635076448157,0.7436365850688101,0.7436365850688101,0.7436365850688101,0.7561399795926179,0.7436365850688101,0.7058034200248113,0.9290382819794585,0.9981731823164048,bioclip2,T0s,leaf,tol,555.0,11955.0,0.8970305311585111,0.5741327862737784,0.562107904642409,0.012024881631369388,11955.0,0.5826850690087829,0.4774208838700683,0.562107904642409,0.020577164366373912,288.0,0.5857863911093198,0.4756944444444444,167.0,0.6397596079422101,0.48502994011976047,6315.0,72.31987331749802,99.2874109263658
bioclip2_T0s_species,24633,404,0.9566435269760077,0.9981325863678805,,,,,,,,,,,,,,bioclip2,T0s,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T0sx_leaf,24633,555,0.7073844030365769,0.9682133723054439,0.6866745493981701,0.7068252068067622,0.6520355979422174,0.6866745493981701,0.6241985808542759,0.7073844030365769,0.7073844030365769,0.7073844030365769,0.6887997375579136,0.7073844030365769,0.6574304515714343,0.9187269110542767,0.996995899809199,bioclip2,T0sx,leaf,tol,555.0,11955.0,0.8758678377248014,0.5028173049374463,0.562107904642409,-0.059290599704962754,11955.0,0.5128398159765788,0.4774208838700683,0.562107904642409,-0.04926808866583021,288.0,0.5202412853090009,0.4756944444444444,167.0,0.5267237368614205,0.48502994011976047,7208.0,72.2253052164262,98.97336293007768
bioclip2_T0sx_species,24633,404,0.9566435269760077,0.9981325863678805,,,,,,,,,,,,,,bioclip2,T0sx,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T3a_leaf,24633,555,0.7608492672431292,0.9896886290748184,0.7317408034496192,0.7603759658464331,0.7231174715158061,0.7317408034496192,0.6822890476669161,0.7608492672431292,0.7608492672431292,0.7608492672431292,0.7518736831444743,0.7608492672431292,0.7146419255946517,0.9489302967563837,0.9987821215442699,bioclip2,T3a,leaf,tol,555.0,11955.0,0.9427854454203263,0.5889450802945613,0.562107904642409,0.026837175652152268,11955.0,0.5798410706817231,0.4774208838700683,0.562107904642409,0.017733166039314074,288.0,0.5553608735830401,0.4756944444444444,167.0,0.5713826142045342,0.48502994011976047,5891.0,78.64539127482601,99.49074859955866
bioclip2_T3a_species,24633,404,0.9523403564324281,0.996386960581334,,,,,,,,,,,,,,bioclip2,T3a,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T3b_leaf,24633,555,0.7660861446027687,0.9891202857954776,0.7480761305896473,0.7656316117966586,0.7434544912703317,0.7480761305896473,0.7008717709530146,0.7660861446027687,0.7660861446027687,0.7660861446027687,0.7717439766160116,0.7660861446027687,0.7279122565101767,0.9462915601023018,0.9987009296472212,bioclip2,T3b,leaf,tol,555.0,11955.0,0.9374320368046842,0.6039082716159543,0.562107904642409,0.04180036697354528,11955.0,0.5985780008364701,0.4774208838700683,0.562107904642409,0.03647009619406105,288.0,0.5952497438063875,0.4756944444444444,167.0,0.6401730011765346,0.48502994011976047,5762.0,77.0392224921902,99.44463727872267
bioclip2_T3b_species,24633,404,0.9523403564324281,0.996386960581334,,,,,,,,,,,,,,bioclip2,T3b,species,tol,,,,,,,,,,,,,,,,,,,,
bioclip2_T3bx_leaf,24633,555,0.7401859294442414,0.9898510128689156,0.7224336580731131,0.7396858846421552,0.7063431807595686,0.7224336580731131,0.6665861020455242,0.7401859294442414,0.7401859294442414,0.7401859294442414,0.7403426896602232,0.7401859294442414,0.6949028421487549,0.9456826208744368,0.9985791418016482,bioclip2,T3bx,leaf,tol,555.0,11955.0,0.9360936846507737,0.5476722366187114,0.562107904642409,-0.014435668023697557,11955.0,0.5480552070263488,0.4774208838700683,0.562107904642409,-0.014052697616060206,288.0,0.5491844429760361,0.4756944444444444,167.0,0.5607310452535332,0.48502994011976047,6400.0,79.09375,99.453125
bioclip2_T3bx_species,24633,404,0.9523403564324281,0.996386960581334,,,,,,,,,,,,,,bioclip2,T3bx,species,tol,,,,,,,,,,,,,,,,,,,,
