species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Ruddy Duck,3,106,0.8208,0.7930,0.8091,0.7994,0.9717
Wood Stork,1,56,0.8214,0.9200,0.8214,0.8679,0.9643
Wood Thrush,1,46,0.8261,0.9500,0.8261,0.8837,0.9348
Clark's Nutcracker,1,46,0.8261,0.9500,0.8261,0.8837,0.8696
Reddish Egret,2,75,0.8267,0.7896,0.7901,0.7895,0.9733
Blue-headed Vireo,1,52,0.8269,0.6232,0.8269,0.7107,0.9615
White-winged Crossbill,2,52,0.8269,0.7419,0.8219,0.7774,0.9615
Swainson's Thrush,1,58,0.8276,0.7385,0.8276,0.7805,0.9483
Northern Shoveler,2,100,0.8300,0.8099,0.8000,0.8027,0.9600
Eurasian Collared-Dove,1,59,0.8305,0.8167,0.8305,0.8235,0.9492
Green-winged Teal,2,71,0.8310,0.7880,0.8089,0.7978,0.9577
Gray Catbird,1,60,0.8333,0.8772,0.8333,0.8547,0.9500
Forster's Tern,1,60,0.8333,0.6849,0.8333,0.7519,0.9833
Pied-billed Grebe,1,60,0.8333,0.8065,0.8333,0.8197,0.9667
Marsh Wren,1,60,0.8333,0.8197,0.8333,0.8264,0.9333
Cedar Waxwing,1,54,0.8333,0.9000,0.8333,0.8654,0.9444
Red-breasted Merganser,2,85,0.8353,0.8351,0.8376,0.8353,1.0000
Ring-necked Pheasant,2,61,0.8361,0.8429,0.8184,0.8287,0.9180
Black Oystercatcher,1,49,0.8367,1.0000,0.8367,0.9111,1.0000
Yellow-throated Vireo,1,38,0.8421,0.8649,0.8421,0.8533,0.9737
Brown-headed Nuthatch,1,38,0.8421,0.7805,0.8421,0.8101,0.9737
Blackburnian Warbler,1,51,0.8431,0.8776,0.8431,0.8600,0.8824
Scarlet Tanager,2,77,0.8442,0.7699,0.8010,0.7847,0.9740
American Pipit,1,58,0.8448,0.8596,0.8448,0.8522,0.9483
Common Goldeneye,2,84,0.8452,0.6581,0.8244,0.7317,0.9524
Harlequin Duck,2,65,0.8462,0.9886,0.7727,0.8472,0.9538
Greater White-fronted Goose,1,33,0.8485,0.9333,0.8485,0.8889,1.0000
Double-crested Cormorant,2,106,0.8491,0.5922,0.8494,0.6978,0.9906
Common Eider,3,73,0.8493,0.7986,0.8443,0.8207,0.9452
Anhinga,1,60,0.8500,0.6892,0.8500,0.7612,0.9833
Song Sparrow,1,60,0.8500,0.8226,0.8500,0.8361,0.9833
Black-throated Green Warbler,1,60,0.8500,0.8226,0.8500,0.8361,0.9667
