species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Heermann's Gull,2,61,0.8197,0.6656,0.7896,0.7217,0.9016
Wood Duck,2,106,0.8208,0.7722,0.8036,0.7858,0.8774
Great Crested Flycatcher,1,53,0.8302,0.8148,0.8302,0.8224,0.9434
Carolina Wren,1,60,0.8333,0.6757,0.8333,0.7463,0.8833
Pileated Woodpecker,1,60,0.8333,0.7463,0.8333,0.7874,0.9000
Green Heron,1,60,0.8333,0.7576,0.8333,0.7937,0.9500
American Kestrel,2,115,0.8348,0.7634,0.8326,0.7958,0.9043
Varied Thrush,1,56,0.8393,0.6812,0.8393,0.7520,0.9107
Double-crested Cormorant,2,106,0.8396,0.5542,0.8401,0.6669,0.9623
Field Sparrow,1,51,0.8431,0.8600,0.8431,0.8515,0.9412
American Wigeon,2,64,0.8438,0.6966,0.8129,0.7420,0.9062
Snow Bunting,2,64,0.8438,0.8340,0.7756,0.8017,0.9219
Brown Creeper,1,58,0.8448,0.7778,0.8448,0.8099,0.9138
Black-necked Stilt,1,33,0.8485,0.9032,0.8485,0.8750,0.9394
Townsend's Warbler,1,60,0.8500,0.6800,0.8500,0.7556,0.9667
Evening Grosbeak,2,120,0.8500,0.8744,0.8500,0.8570,0.9333
Red-bellied Woodpecker,1,60,0.8500,0.8793,0.8500,0.8644,0.9333
Least Sandpiper,1,60,0.8500,0.7183,0.8500,0.7786,0.9833
Red-eyed Vireo,1,60,0.8500,0.6538,0.8500,0.7391,0.9500
Common Yellowthroat,2,120,0.8500,0.8166,0.8500,0.8329,0.9500
Lincoln's Sparrow,1,60,0.8500,0.8361,0.8500,0.8430,0.9667
Chestnut-backed Chickadee,1,54,0.8519,0.5000,0.8519,0.6301,0.9630
Cedar Waxwing,1,54,0.8519,0.6765,0.8519,0.7541,0.9074
Veery,1,41,0.8537,0.6481,0.8537,0.7368,0.9756
Ruddy Turnstone,1,55,0.8545,0.8103,0.8545,0.8319,0.9455
Inca Dove,1,50,0.8600,0.7414,0.8600,0.7963,0.9200
Roseate Spoonbill,1,29,0.8621,0.8929,0.8621,0.8772,0.9655
Acorn Woodpecker,1,58,0.8621,0.9259,0.8621,0.8929,0.9655
Gambel's Quail,2,52,0.8654,0.7778,0.8092,0.7932,0.9615
